Ri,Zj,Rhoij
-5.483871,6.031746,0.041226
-5.483871,6.666667,0.022450
-5.483871,7.301587,0.010167
-5.483871,7.936508,0.003854
-5.483871,8.571429,0.001296
-5.483871,9.206349,0.000444
-5.483871,9.841270,0.000182
-5.483871,10.476190,0.000094
-5.483871,11.111111,0.000053
-5.483871,11.746032,0.000027
-5.483871,12.380952,0.000012
-5.483871,13.015873,0.000004
-5.483871,13.650794,0.000002
-5.483871,14.285714,0.000001
-5.483871,14.920635,0.000000
-5.483871,15.555556,0.000000
-5.483871,16.190476,0.000000
-5.483871,16.825397,0.000000
-5.483871,17.460317,0.000000
-5.483871,18.095238,0.000000
-5.483871,18.730159,0.000000
-5.483871,19.365079,0.000000
-5.483871,20.000000,0.000000
-4.838710,-20.000000,0.000000
-4.838710,-19.365079,0.000000
-4.838710,-18.730159,0.000000
-4.838710,-18.095238,0.000000
-4.838710,-17.460317,0.000000
-4.838710,-16.825397,0.000000
-4.838710,-16.190476,0.000000
-4.838710,-15.555556,0.000001
-4.838710,-14.920635,0.000001
-4.838710,-14.285714,0.000002
-4.838710,-13.650794,0.000002
-4.838710,-13.015873,0.000004
-4.838710,-12.380952,0.000011
-4.838710,-11.746032,0.000028
-4.838710,-11.111111,0.000059
-4.838710,-10.476190,0.000111
-4.838710,-9.841270,0.000241
-4.838710,-9.206349,0.000695
-4.838710,-8.571429,0.002365
-4.838710,-7.936508,0.007594
-4.838710,-7.301587,0.020191
-4.838710,-6.666667,0.042846
-4.838710,-6.031746,0.073158
-4.838710,-5.396825,0.103440
-4.838710,-4.761905,0.126202
-4.838710,-4.126984,0.139270
-4.838710,-3.492063,0.145084
-4.838710,-2.857143,0.147010
-4.838710,-2.222222,0.147404
-4.838710,-1.587302,0.147460
-4.838710,-0.952381,0.147464
-4.838710,-0.317460,0.147369
-4.838710,0.317460,0.147202
-4.838710,0.952381,0.146982
-4.838710,1.587302,0.146670
-4.838710,2.222222,0.146239
-4.838710,2.857143,0.145302
-4.838710,3.492063,0.142598
-4.838710,4.126984,0.135893
-4.838710,4.761905,0.122421
-4.838710,5.396825,0.100480
-4.838710,6.031746,0.072072
-4.838710,6.666667,0.043480
-4.838710,7.301587,0.021449
-4.838710,7.936508,0.008565
-4.838710,8.571429,0.002846
-4.838710,9.206349,0.000875
-4.838710,9.841270,0.000302
-4.838710,10.476190,0.000134
-4.838710,11.111111,0.000070
-4.838710,11.746032,0.000035
-4.838710,12.380952,0.000015
-4.838710,13.015873,0.000006
-4.838710,13.650794,0.000003
-4.838710,14.285714,0.000002
-4.838710,14.920635,0.000001
-4.838710,15.555556,0.000000
-4.838710,16.190476,0.000000
-4.838710,16.825397,0.000000
-4.838710,17.460317,0.000000
-4.838710,18.095238,0.000000
-4.838710,18.730159,0.000000
-4.838710,19.365079,0.000000
-4.838710,20.000000,0.000000
-4.193548,-20.000000,0.000000
-4.193548,-19.365079,0.000000
-4.193548,-18.730159,0.000000
-4.193548,-18.095238,0.000000
-4.193548,-17.460317,0.000000
-4.193548,-16.825397,0.000000
-4.193548,-16.190476,0.000000
-4.193548,-15.555556,0.000001
-4.193548,-14.920635,0.000003
-4.193548,-14.285714,0.000004
-4.193548,-13.650794,0.000005
-4.193548,-13.015873,0.000005
-4.193548,-12.380952,0.000012
